|Company|Product|TypeName|Inches|Ram|OS|Weight|Price_euros|Screen|ScreenW|ScreenH|Touchscreen|IPSpanel|RetinaDisplay|CPU_company|CPU_freq|CPU_model|PrimaryStorage|SecondaryStorage|PrimaryStorageType|SecondaryStorageType|GPU_company|GPU_model
0|Apple|MacBook Pro|Ultrabook|13.3|8|macOS|1.37|1339.69|Standard|2560|1600|No|Yes|Yes|Intel|2.3|Core i5|128|0|SSD|No|Intel|Iris Plus Graphics 640
1|Apple|Macbook Air|Ultrabook|13.3|8|macOS|1.34|898.94|Standard|1440|900|No|No|No|Intel|1.8|Core i5|128|0|Flash Storage|No|Intel|HD Graphics 6000
2|HP|250 G6|Notebook|15.6|8|No OS|1.86|575.0|Full HD|1920|1080|No|No|No|Intel|2.5|Core i5 7200U|256|0|SSD|No|Intel|HD Graphics 620
3|Apple|MacBook Pro|Ultrabook|15.4|16|macOS|1.83|2537.45|Standard|2880|1800|No|Yes|Yes|Intel|2.7|Core i7|512|0|SSD|No|AMD|Radeon Pro 455
4|Apple|MacBook Pro|Ultrabook|13.3|8|macOS|1.37|1803.6|Standard|2560|1600|No|Yes|Yes|Intel|3.1|Core i5|256|0|SSD|No|Intel|Iris Plus Graphics 650
5|Acer|Aspire 3|Notebook|15.6|4|Windows 10|2.1|400.0|Standard|1366|768|No|No|No|AMD|3.0|A9-Series 9420|500|0|HDD|No|AMD|Radeon R5
6|Apple|MacBook Pro|Ultrabook|15.4|16|Mac OS X|2.04|2139.97|Standard|2880|1800|No|Yes|Yes|Intel|2.2|Core i7|256|0|Flash Storage|No|Intel|Iris Pro Graphics
7|Apple|Macbook Air|Ultrabook|13.3|8|macOS|1.34|1158.7|Standard|1440|900|No|No|No|Intel|1.8|Core i5|256|0|Flash Storage|No|Intel|HD Graphics 6000
8|Asus|ZenBook UX430UN|Ultrabook|14.0|16|Windows 10|1.3|1495.0|Full HD|1920|1080|No|No|No|Intel|1.8|Core i7 8550U|512|0|SSD|No|Nvidia|GeForce MX150
9|Acer|Swift 3|Ultrabook|14.0|8|Windows 10|1.6|770.0|Full HD|1920|1080|No|Yes|No|Intel|1.6|Core i5 8250U|256|0|SSD|No|Intel|UHD Graphics 620
10|HP|250 G6|Notebook|15.6|4|No OS|1.86|393.9|Standard|1366|768|No|No|No|Intel|2.5|Core i5 7200U|500|0|HDD|No|Intel|HD Graphics 620
11|HP|250 G6|Notebook|15.6|4|No OS|1.86|344.99|Full HD|1920|1080|No|No|No|Intel|2.0|Core i3 6006U|500|0|HDD|No|Intel|HD Graphics 520
12|Apple|MacBook Pro|Ultrabook|15.4|16|macOS|1.83|2439.97|Standard|2880|1800|No|Yes|Yes|Intel|2.8|Core i7|256|0|SSD|No|AMD|Radeon Pro 555
13|Dell|Inspiron 3567|Notebook|15.6|4|Windows 10|2.2|498.9|Full HD|1920|1080|No|No|No|Intel|2.0|Core i3 6006U|256|0|SSD|No|AMD|Radeon R5 M430
14|Apple|"MacBook 12"""|Ultrabook|12.0|8|macOS|0.92|1262.4|Standard|2304|1440|No|Yes|Yes|Intel|1.2|Core M m3|256|0|SSD|No|Intel|HD Graphics 615
15|Apple|MacBook Pro|Ultrabook|13.3|8|macOS|1.37|1518.55|Standard|2560|1600|No|Yes|Yes|Intel|2.3|Core i5|256|0|SSD|No|Intel|Iris Plus Graphics 640
16|Dell|Inspiron 3567|Notebook|15.6|8|Windows 10|2.2|745.0|Full HD|1920|1080|No|No|No|Intel|2.7|Core i7 7500U|256|0|SSD|No|AMD|Radeon R5 M430
17|Apple|MacBook Pro|Ultrabook|15.4|16|macOS|1.83|2858.0|Standard|2880|1800|No|Yes|Yes|Intel|2.9|Core i7|512|0|SSD|No|AMD|Radeon Pro 560
18|Lenovo|IdeaPad 320-15IKB|Notebook|15.6|8|No OS|2.2|499.0|Full HD|1920|1080|No|No|No|Intel|2.4|Core i3 7100U|1024|0|HDD|No|Nvidia|GeForce 940MX
19|Dell|XPS 13|Ultrabook|13.3|8|Windows 10|1.22|979.0|Full HD|1920|1080|Yes|Yes|No|Intel|1.6|Core i5 8250U|128|0|SSD|No|Intel|UHD Graphics 620
20|Asus|Vivobook E200HA|Netbook|11.6|2|Windows 10|0.98|191.9|Standard|1366|768|No|No|No|Intel|1.44|Atom x5-Z8350|32|0|Flash Storage|No|Intel|HD Graphics 400
21|Lenovo|Legion Y520-15IKBN|Gaming|15.6|8|Windows 10|2.5|999.0|Full HD|1920|1080|No|Yes|No|Intel|2.5|Core i5 7300HQ|128|1024|SSD|HDD|Nvidia|GeForce GTX 1050
22|HP|255 G6|Notebook|15.6|4|No OS|1.86|258.0|Standard|1366|768|No|No|No|AMD|1.5|E-Series E2-9000e|500|0|HDD|No|AMD|Radeon R2
23|Dell|Inspiron 5379|2 in 1 Convertible|13.3|8|Windows 10|1.62|819.0|Full HD|1920|1080|Yes|No|No|Intel|1.6|Core i5 8250U|256|0|SSD|No|Intel|UHD Graphics 620
24|HP|15-BS101nv (i7-8550U/8GB/256GB/FHD/W10)|Ultrabook|15.6|8|Windows 10|1.91|659.0|Full HD|1920|1080|No|No|No|Intel|1.8|Core i7 8550U|256|0|SSD|No|Intel|HD Graphics 620
